bigram,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,Total
political implications,0,0,0,1,0,0,0,1
political lines,0,0,0,0,0,0,1,1
political nature,0,0,0,0,1,0,0,1
political operative,0,0,0,0,1,0,0,1
political opposition,0,1,0,0,0,0,0,1
political organization,0,0,0,1,0,0,0,1
political polarization,0,0,0,1,0,0,0,1
political position,0,0,0,0,0,1,0,1
political pressure,0,0,1,0,0,0,0,1
political professionals,0,0,1,0,0,0,0,1
political realities,0,0,0,0,1,0,0,1
political realm,0,0,0,1,0,0,0,1
political spectrum,0,0,0,0,1,0,0,1
political strategy,0,0,0,1,0,0,0,1
political system,1,0,0,0,0,0,0,1
political target,0,0,1,0,0,0,0,1
political tides,0,1,0,0,0,0,0,1
political world,0,0,0,0,1,0,0,1
politically inclined,0,0,0,1,0,0,0,1
politically provocative,0,1,0,0,0,0,0,1
politically sensitive,0,0,0,1,0,0,0,1
politicians compare,0,1,0,0,0,0,0,1
politicians gain,0,1,0,0,0,0,0,1
politicians lobbing,0,0,0,0,0,1,0,1
politics ailsa,0,0,0,0,1,0,0,1
politics coverage,0,0,1,0,0,0,0,1
politics hobbs,0,0,0,0,1,0,0,1
politics ralston,0,0,0,0,1,0,0,1
politics reporter,0,0,1,0,0,0,0,1
pollard's farm,0,0,0,1,0,0,0,1
pollinator friendly,0,1,0,0,0,0,0,1
pollutant nitrogen,0,0,0,1,0,0,0,1
pollutants helping,0,0,0,0,0,1,0,1
pollutants inside,0,0,0,1,0,0,0,1
polluted airports,0,0,1,0,0,0,0,1
polluted lake,0,1,0,0,0,0,0,1
polluted local,1,0,0,0,0,0,0,1
polluted neighborhood,0,0,1,0,0,0,0,1
polluted red,1,0,0,0,0,0,0,1
polluted waterways,1,0,0,0,0,0,0,1
polluters maansi,0,1,0,0,0,0,0,1
polluters worldwide,0,1,0,0,0,0,0,1
polluting businesses,0,0,0,0,1,0,0,1
polluting designs,0,0,0,1,0,0,0,1
polluting vehicles,0,0,0,0,0,1,0,1
pollution anjali,0,0,0,0,1,0,0,1
pollution bob,0,0,1,0,0,0,0,1
pollution cleanup,0,0,0,0,0,0,1,1
pollution climate,0,0,0,0,1,0,0,1
pollution coal,0,0,0,0,1,0,0,1
pollution connor,0,0,0,0,0,1,0,1
pollution cuts,0,0,0,1,0,0,0,1
pollution driving,0,1,0,0,0,0,0,1
pollution fanning,0,0,1,0,0,0,0,1
pollution farming,0,0,1,0,0,0,0,1
pollution free,0,0,0,0,1,0,0,1
pollution heating,0,1,0,0,0,0,0,1
pollution issue,0,0,0,1,0,0,0,1
pollution levels,0,0,0,0,0,1,0,1
pollution reductions,0,0,0,0,1,0,0,1
pollution salt,0,0,0,0,1,0,0,1
pollution standards,0,0,0,0,0,1,0,1
pollution.for npr,0,1,0,0,0,0,0,1
pollution.martí yeah,0,0,0,0,1,0,0,1
polystyrene cups,0,0,0,1,0,0,0,1
ponce earlier,1,0,0,0,0,0,0,1
pond sand,0,0,0,0,0,1,0,1
ponderosa pine,0,0,0,0,0,1,0,1
poor country,0,0,0,0,0,1,0,1
poor cousin,0,0,1,0,0,0,0,1
poor governance,0,0,1,0,0,0,0,1
poor rainfall,1,0,0,0,0,0,0,1
poor residents,0,0,0,0,1,0,0,1
poor woman,1,0,0,0,0,0,0,1
poorer communities,0,0,0,0,0,0,1,1
poorest municipalities,0,1,0,0,0,0,0,1
poorest nations,0,1,0,0,0,0,0,1
poorest people,0,0,1,0,0,0,0,1
poorly planned,0,0,0,0,1,0,0,1
pop quiz,0,0,0,0,0,1,0,1
pope andrew,1,0,0,0,0,0,0,1
pope francis,0,1,0,0,0,0,0,1
popping colors,0,0,0,1,0,0,0,1
popping noise,1,0,0,0,0,0,0,1
popular bee,0,0,0,0,0,1,0,1
popular climate,0,1,0,0,0,0,0,1
popular forms,0,0,1,0,0,0,0,1
popular gun,0,0,0,1,0,0,0,1
popular hawaiian,0,0,0,0,1,0,0,1
popular maverick,0,0,0,0,1,0,0,1
popular tiktok,0,0,0,1,0,0,0,1
population ages,0,1,0,0,0,0,0,1
population boom,0,0,0,0,1,0,0,1
population coming,0,0,0,0,0,1,0,1
population declines,1,0,0,0,0,0,0,1
population depend,0,0,1,0,0,0,0,1
population flourished,0,0,0,0,0,1,0,1
population health,0,0,0,0,0,1,0,1
population lack,0,0,0,0,0,1,0,1
population live,0,0,0,0,0,1,0,1
population policies,0,0,0,0,1,0,0,1
population understand,0,0,0,0,0,0,1,1
population's set,0,0,0,1,0,0,0,1
populations boomed,0,0,0,0,1,0,0,1
populations grow,0,1,0,0,0,0,0,1
populations including,0,0,0,0,0,1,0,1
populations move,0,0,0,0,1,0,0,1
populations people,0,0,0,1,0,0,0,1
populist hero,0,0,1,0,0,0,0,1
populous city,0,0,0,0,0,1,0,1
populous southern,0,0,0,0,0,1,0,1
porch plucking,0,1,0,0,0,0,0,1
port saint,0,1,0,0,0,0,0,1
port sanibel,1,0,0,0,0,0,0,1
port town,0,1,0,0,0,0,0,1
portable bathrooms,0,1,0,0,0,0,0,1
porter ali,1,0,0,0,0,0,0,1
porter director,0,0,0,0,1,0,0,1
portfolios outperform,0,0,1,0,0,0,0,1
portillo believes,0,0,1,0,0,0,0,1
portion appropriated,0,1,0,0,0,0,0,1
portland coupled,0,0,0,0,1,0,0,1
portland oregon,0,0,0,0,1,0,0,1
portland pearl's,0,0,0,0,1,0,0,1
portland's grant,0,1,0,0,0,0,0,1
portland's streets,0,0,0,0,1,0,0,1
poses challenges,0,0,1,0,0,0,0,1
poses climate,0,0,0,1,0,0,0,1
poses daunting,0,0,0,0,1,0,0,1
position essentially,0,0,0,0,1,0,0,1
positions laughs,0,1,0,0,0,0,0,1
positions recently,0,1,0,0,0,0,0,1
positive associations,0,0,0,1,0,0,0,1
positive change,1,0,0,0,0,0,0,1
positive feedback,0,0,0,0,1,0,0,1
positive impact,0,0,0,0,0,1,0,1
positive news,0,0,1,0,0,0,0,1
positive step,0,1,0,0,0,0,0,1
positive vision,0,0,0,1,0,0,0,1
positively affect,0,0,1,0,0,0,0,1
possibly fail,0,0,0,1,0,0,0,1
possibly serve,0,0,1,0,0,0,0,1
possibly turtles,1,0,0,0,0,0,0,1
post disaster,0,0,0,0,1,0,0,1
post dispatch,1,0,0,0,0,0,0,1
post doc,0,0,0,0,0,1,0,1
post explains,0,0,0,0,0,1,0,1
post fossil,0,0,0,0,1,0,0,1
post getty,0,1,0,0,0,0,0,1
post john,0,1,0,0,0,0,0,1
post secondary,0,0,0,0,1,0,0,1
post suspended,0,0,0,1,0,0,0,1
posting environmental,0,0,0,0,0,1,0,1
posts material,0,0,0,0,1,0,0,1
posts tagged,0,0,0,0,0,1,0,1
potable water,0,0,0,0,0,1,0,1
potato sack,1,0,0,0,0,0,0,1
potent planet,0,0,0,0,0,0,1,1
potential action,0,0,0,0,1,0,0,1
potential advantage,0,1,0,0,0,0,0,1
potential arctic,0,0,0,0,0,1,0,1
potential bans,0,0,0,1,0,0,0,1
potential benefits,0,1,0,0,0,0,0,1
potential climate,0,1,0,0,0,0,0,1
potential dangers,1,0,0,0,0,0,0,1
potential environmental,1,0,0,0,0,0,0,1
potential fatality,0,0,0,0,0,1,0,1
potential grid,0,0,0,0,1,0,0,1
potential implications,0,1,0,0,0,0,0,1
potential loss,0,0,0,0,1,0,0,1
potential negotiation,0,1,0,0,0,0,0,1
potential path,0,0,0,0,0,1,0,1
potential plastic,0,0,0,1,0,0,0,1
potential power,0,0,0,0,1,0,0,1
potential promise,0,1,0,0,0,0,0,1
potential reforms,1,0,0,0,0,0,0,1
potential replacements,0,0,0,1,0,0,0,1
potential risks,0,1,0,0,0,0,0,1
potential runoff,0,0,0,0,0,1,0,1
potential site,0,0,0,0,0,1,0,1
potential solar,0,1,0,0,0,0,0,1
potential solution,1,0,0,0,0,0,0,1
potential strain,0,0,0,1,0,0,0,1
potential surveillance,0,0,0,0,1,0,0,1
potential unknowns,0,1,0,0,0,0,0,1
potential win,1,0,0,0,0,0,0,1
potentially accelerates,0,0,0,0,1,0,0,1
potentially catastrophic,0,1,0,0,0,0,0,1
potentially friendlier,0,0,0,1,0,0,0,1
potentially harm,0,0,0,0,1,0,0,1
potentially healthier,0,1,0,0,0,0,0,1
potentially trillions,0,1,0,0,0,0,0,1
potentially vulnerable,0,1,0,0,0,0,0,1
potentially weakening,0,0,1,0,0,0,0,1
potsdam institute,0,0,0,1,0,0,0,1
poultry company,0,0,0,0,1,0,0,1
poultry operations,0,1,0,0,0,0,0,1
pound sack,1,0,0,0,0,0,0,1
pound sacks,1,0,0,0,0,0,0,1
pour water,0,0,0,0,1,0,0,1
poured billions,0,1,0,0,0,0,0,1
poured money,1,0,0,0,0,0,0,1
pouring golden,0,0,0,0,0,1,0,1
pouring rain,0,1,0,0,0,0,0,1
pours based,1,0,0,0,0,0,0,1
poverty abounds,0,0,0,0,1,0,0,1
poverty development,0,1,0,0,0,0,0,1
poverty poor,0,0,1,0,0,0,0,1
powdered food,1,0,0,0,0,0,0,1
powell america's,0,1,0,0,0,0,0,1
powell insists,0,0,0,0,0,1,0,1
powell told,0,0,0,0,0,1,0,1
power accountable,0,1,0,0,0,0,0,1
power authority,0,0,0,1,0,0,0,1
power bills,0,0,1,0,0,0,0,1
power capacity,0,0,0,1,0,0,0,1
power ceo,0,0,1,0,0,0,0,1
power coming,0,0,0,0,1,0,0,1
power companies,0,0,1,0,0,0,0,1
power contractor,0,0,1,0,0,0,0,1
power days,1,0,0,0,0,0,0,1
power declined,0,0,1,0,0,0,0,1
power demand,0,0,0,0,1,0,0,1
power directed,0,0,1,0,0,0,0,1
power eric,0,0,1,0,0,0,0,1
power executives,0,0,1,0,0,0,0,1
power failures,1,0,0,0,0,0,0,1
power family,0,0,0,0,1,0,0,1
power generated,0,0,0,0,1,0,0,1
power grids,0,0,0,0,1,0,0,1
power heavy,0,0,0,1,0,0,0,1
power lies,0,0,0,0,0,1,0,1
power light's,0,0,1,0,0,0,0,1
power linked,0,0,1,0,0,0,0,1
power lower,0,0,0,0,1,0,0,1
power market,0,0,1,0,0,0,0,1
power owner,0,0,0,0,1,0,0,1
power past,0,1,0,0,0,0,0,1
power rates,0,0,0,1,0,0,0,1
power received,0,0,1,0,0,0,0,1
power remained,1,0,0,0,0,0,0,1
power remains,0,0,1,0,0,0,0,1
power runs,0,0,1,0,0,0,0,1
power sam,0,0,0,0,1,0,0,1
power sector,0,0,1,0,0,0,0,1
power service,0,0,0,0,0,1,0,1
power thirteen,0,1,0,0,0,0,0,1
power yellowhammer,0,0,1,0,0,0,0,1
powerco announced,0,0,0,0,0,1,0,1
powered chain,0,0,0,0,0,1,0,1
powered evs,0,0,0,0,0,1,0,1
powered fan,1,0,0,0,0,0,0,1
powered infrared,0,0,0,0,1,0,0,1
powered sensors,0,0,0,0,0,1,0,1
powerful climate,0,0,0,0,1,0,0,1
powerful earthquake,1,0,0,0,0,0,0,1
powerful guns,0,0,0,1,0,0,0,1
powerful incentive,0,1,0,0,0,0,0,1
powerful motivators,1,0,0,0,0,0,0,1
powerful nations,0,1,0,0,0,0,0,1
powerful offensive,0,0,0,1,0,0,0,1
powerful people,0,0,0,0,1,0,0,1
powerful statement,0,1,0,0,0,0,0,1
powerful surge,1,0,0,0,0,0,0,1
powerful tool,0,0,0,1,0,0,0,1
powerful updraft,0,0,0,0,0,1,0,1
powerful waves,0,0,0,0,1,0,0,1
powerful win,0,0,1,0,0,0,0,1
powering frigid,0,0,0,0,1,0,0,1
powering stations,0,0,0,0,0,1,0,1
poweroutage.us president,0,0,0,1,0,0,0,1
powerpoint presentation,0,0,0,0,0,0,1,1
powers authority,0,0,0,0,1,0,0,1
powers supporting,0,0,0,1,0,0,0,1
ppb jeff,0,0,0,0,1,0,0,1
pr firms,0,0,0,1,0,0,0,1
pr100 researchers,0,0,0,1,0,0,0,1
practical consensus,0,1,0,0,0,0,0,1
practical farmers,0,1,0,0,0,0,0,1
practical implications,0,0,0,0,1,0,0,1
practical options,0,0,0,0,0,1,0,1
practical reasons,0,1,0,0,0,0,0,1
practical steps,0,1,0,0,0,0,0,1
practical terms,0,0,1,0,0,0,0,1
practice impossible,0,1,0,0,0,0,0,1
practice oil,1,0,0,0,0,0,0,1
practiced law,0,0,1,0,0,0,0,1
practices candelaria,0,0,0,0,1,0,0,1
practices combination,0,0,1,0,0,0,0,1
practices companies,0,0,0,0,1,0,0,1
practices impossible,0,1,0,0,0,0,0,1
practices including,0,0,1,0,0,0,0,1
practices infestation,0,0,0,0,0,1,0,1
practices regenerative,0,1,0,0,0,0,0,1
practicing rituals,0,0,0,1,0,0,0,1
prager university,0,0,0,0,0,1,0,1
pragmatic approach,0,0,0,0,1,0,0,1
pragmatic realistic,0,0,0,1,0,0,0,1
pragmatism beats,0,0,1,0,0,0,0,1
prairie city,0,1,0,0,0,0,0,1
prairie grass,1,0,0,0,0,0,0,1
praised australia,0,1,0,0,0,0,0,1
praising southern,0,0,1,0,0,0,0,1
pratt explains,0,0,1,0,0,0,0,1
prayer rings,0,1,0,0,0,0,0,1
prayer rugs,0,1,0,0,0,0,0,1
prayog director,0,1,0,0,0,0,0,1
prayog hide,0,1,0,0,0,0,0,1
prayog ssp,0,1,0,0,0,0,0,1
pre drought,0,0,0,0,0,1,0,1
preble street,0,0,0,0,1,0,0,1
precautions university,0,0,0,0,0,1,0,1
precedent risking,0,0,0,1,0,0,0,1
precious archives,0,1,0,0,0,0,0,1
precious taking,0,0,1,0,0,0,0,1
precipitation california,0,0,0,0,1,0,0,1
precipitation campbell,0,0,0,1,0,0,0,1
precipitation causing,0,0,0,1,0,0,0,1
precipitation due,0,0,0,0,0,0,1,1
precipitation including,0,0,0,0,1,0,0,1
precipitation reversing,0,0,0,0,0,0,1,1
precipitation totals,0,0,0,0,1,0,0,1
precipitation wind,0,1,0,0,0,0,0,1
precise threshold,0,0,0,1,0,0,0,1
predecessor doug,0,0,0,0,1,0,0,1
predecessor republican,0,0,0,0,1,0,0,1
predecessor's pullout,0,1,0,0,0,0,0,1
predict low,0,1,0,0,0,0,0,1
predict trends,0,0,0,0,0,1,0,1
predict upcoming,0,0,0,0,1,0,0,1
predicting global,0,0,0,1,0,0,0,1
predicting sea,1,0,0,0,0,0,0,1
prediction appears,0,0,0,0,0,0,1,1
predictions based,0,0,0,0,0,0,1,1
predicts price,0,1,0,0,0,0,0,1
predominant ingredient,0,1,0,0,0,0,0,1
preety bhandari,0,1,0,0,0,0,0,1
prefect claudio,0,1,0,0,0,0,0,1
prefer climate,0,0,0,0,1,0,0,1
preindustrial times,0,0,0,1,0,0,0,1
preliminary figures,0,0,1,0,0,0,0,1
preliminary rating,0,0,0,0,0,1,0,1
prema gopalan,0,1,0,0,0,0,0,1
premier giorgia,0,1,0,0,0,0,0,1
premier hotel,0,1,0,0,0,0,0,1
premium prices,0,1,0,0,0,0,0,1
prepare countries,0,0,0,0,0,1,0,1
prepare initiative,0,1,0,0,0,0,0,1
prepare nathan,0,0,0,0,0,1,0,1
prepared communities,1,0,0,0,0,0,0,1
prepared residents,1,0,0,0,0,0,0,1
preparedness drills,1,0,0,0,0,0,0,1
preparing communities,0,0,0,1,0,0,0,1
preparing rain,0,0,0,1,0,0,0,1
presentation packed,0,0,0,0,0,0,1,1
preserve ecosystems,0,0,0,0,1,0,0,1
preserve forests,0,1,0,0,0,0,0,1
preserving coastal,0,0,1,0,0,0,0,1
president abdel,0,1,0,0,0,0,0,1
president abdul,0,1,0,0,0,0,0,1
president announced,1,0,0,0,0,0,0,1
president bolsonaro,0,1,0,0,0,0,0,1
president christopher,0,0,0,0,0,1,0,1
president david,1,0,0,0,0,0,0,1
president decided,1,0,0,0,0,0,0,1
president elect,0,1,0,0,0,0,0,1
president emomali,0,0,0,0,0,1,0,1
president ferdinand,1,0,0,0,0,0,0,1
president frans,0,0,0,0,0,1,0,1
president galvanize,0,1,0,0,0,0,0,1
president jed,0,0,1,0,0,0,0,1
president joko,0,0,0,0,1,0,0,1
president karen,0,0,0,0,1,0,0,1
president lula,0,0,0,0,1,0,0,1
president obama,0,0,0,0,0,1,0,1
president obama's,0,0,0,0,0,1,0,1
president pledged,1,0,0,0,0,0,0,1
president rosario,1,0,0,0,0,0,0,1
president signed,0,1,0,0,0,0,0,1
president sisi,0,1,0,0,0,0,0,1
president trump,0,0,0,0,0,1,0,1
president volodymyr,0,1,0,0,0,0,0,1
president xi,0,1,0,0,0,0,0,1
president's budget,0,0,0,0,0,0,1,1
president's response,0,1,0,0,0,0,0,1
president's speech,0,1,0,0,0,0,0,1
presidential election,0,1,0,0,0,0,0,1
press briefing,0,0,0,0,0,1,0,1
press coffee,0,0,0,1,0,0,0,1
press contributed,0,0,0,0,0,1,0,1
press corps,0,0,1,0,0,0,0,1
press covered,0,0,0,0,0,1,0,1
press event,0,1,0,0,0,0,0,1
press including,0,0,1,0,0,0,0,1
press interviews,0,1,0,0,0,0,0,1
press reported,0,0,0,1,0,0,0,1
pressing time,0,0,0,0,1,0,0,1
pressure builds,0,0,0,0,0,1,0,1
pressure campaign,0,0,1,0,0,0,0,1
pressure compton,0,0,0,0,0,1,0,1
pressure drops,0,0,0,1,0,0,0,1
pressure farmers,0,0,0,0,1,0,0,1
pressure investors,0,0,0,0,0,0,1,1
pressure rotating,0,0,0,0,1,0,0,1
pressure steam,1,0,0,0,0,0,0,1
pressured biden,0,0,0,0,0,1,0,1
prestigious law,0,0,0,0,1,0,0,1
pretty benign,0,0,0,0,1,0,0,1
pretty complex,0,0,0,1,0,0,0,1
pretty consistently,0,0,0,0,0,1,0,1
pretty familiar,0,0,0,1,0,0,0,1
pretty fantastic,0,0,0,0,0,1,0,1
pretty fast,0,0,0,1,0,0,0,1
pretty hopeful,0,0,1,0,0,0,0,1
pretty hot,1,0,0,0,0,0,0,1
pretty mild,0,0,0,0,0,1,0,1
pretty outrageous,0,0,1,0,0,0,0,1
pretty polarized,0,0,0,0,1,0,0,1
pretty progressive,0,0,0,0,1,0,0,1
pretty recently,0,0,0,0,1,0,0,1
pretty regularly,0,0,0,1,0,0,0,1
pretty severe,0,0,0,0,1,0,0,1
pretty shaken,0,0,0,1,0,0,0,1
pretty simple,1,0,0,0,0,0,0,1
pretty slowly,0,0,1,0,0,0,0,1
pretty spotless,0,0,0,1,0,0,0,1
pretty strong,0,0,0,1,0,0,0,1
pretty unexpected,1,0,0,0,0,0,0,1
prevailing science,1,0,0,0,0,0,0,1
prevent catastrophic,0,0,0,0,0,1,0,1
prevent climate,0,1,0,0,0,0,0,1
prevent damage,0,0,0,1,0,0,0,1
prevent dishonest,0,1,0,0,0,0,0,1
prevent double,0,1,0,0,0,0,0,1
prevent future,0,0,0,0,0,0,1,1
prevent hemorrhage,1,0,0,0,0,0,0,1
prevent irreversible,1,0,0,0,0,0,0,1
prevent methane,0,1,0,0,0,0,0,1
prevent wildfires,0,0,0,0,0,0,1,1
preventative stuff,0,0,1,0,0,0,0,1
prevented critical,0,0,0,1,0,0,0,1
preventing catastrophic,0,0,0,0,0,1,0,1
preventing deforestation,0,0,0,0,0,0,1,1
preventing heat,0,1,0,0,0,0,0,1
prevention medical,0,0,0,0,0,1,0,1
prevents governments,0,1,0,0,0,0,0,1
previous australian,0,1,0,0,0,0,0,1
previous community,0,1,0,0,0,0,0,1
previous conservative,0,1,0,0,0,0,0,1
previous droughts,0,0,0,0,0,1,0,1
previous government,0,1,0,0,0,0,0,1
previous hurricanes,1,0,0,0,0,0,0,1
previous incentive,0,0,0,0,0,0,1,1
previous jung,0,1,0,0,0,0,0,1
previous modeling,0,0,0,1,0,0,0,1
previous photo,0,1,0,0,0,0,0,1
previous planned,0,0,1,0,0,0,0,1
previous records,1,0,0,0,0,0,0,1
previous stint,0,1,0,0,0,0,0,1
previous ten,0,0,1,0,0,0,0,1
previous u.s,0,1,0,0,0,0,0,1
previously agreed,0,1,0,0,0,0,0,1
previously denied,0,0,0,0,1,0,0,1
previously served,0,0,1,0,0,0,0,1
previously unseen,0,0,1,0,0,0,0,1
prey read,0,0,0,0,0,1,0,1
prezioso afp,0,0,0,0,1,0,0,1
price cap,0,0,0,0,1,0,0,1
price caps,1,0,0,0,0,0,0,1
price competitive,0,1,0,0,0,0,0,1
price customers,0,0,0,0,1,0,0,1
price mwenja,1,0,0,0,0,0,0,1
price paid,0,0,0,0,1,0,0,1
price parity,0,1,0,0,0,0,0,1
price scientists,0,1,0,0,0,0,0,1
price tracking,1,0,0,0,0,0,0,1
prices alabama,0,0,1,0,0,0,0,1
prices amid,0,0,0,0,0,1,0,1
prices artificially,0,0,0,0,1,0,0,1
prices changing,0,0,1,0,0,0,0,1
prices consumers,1,0,0,0,0,0,0,1
prices dramatically,0,1,0,0,0,0,0,1
prices drop,0,0,0,0,0,1,0,1
prices dropping,1,0,0,0,0,0,0,1
prices eventually,0,0,0,0,0,1,0,1
prices fall,1,0,0,0,0,0,0,1
prices haywire,1,0,0,0,0,0,0,1
prices increase,1,0,0,0,0,0,0,1
prices michael,1,0,0,0,0,0,0,1
prices mwenja,1,0,0,0,0,0,0,1
prices president,1,0,0,0,0,0,0,1
prices republicans,0,1,0,0,0,0,0,1
priest father,0,0,1,0,0,0,0,1
primarily located,0,0,0,0,0,1,0,1
primary calving,0,0,0,0,0,1,0,1
primary defense,0,1,0,0,0,0,0,1
primary forms,0,0,0,1,0,0,0,1
primary refrigerants,0,0,0,0,0,0,1,1
primary source,1,0,0,0,0,0,0,1
primary supply,1,0,0,0,0,0,0,1
prime minister's,0,0,0,1,0,0,0,1
prime ministers,0,1,0,0,0,0,0,1
prior alert,0,1,0,0,0,0,0,1
prior notice,0,0,1,0,0,0,0,1
priorities carter,0,0,0,0,1,0,0,1
priorities heading,0,1,0,0,0,0,0,1
prioritize funding,0,0,0,1,0,0,0,1
prioritize investing,0,0,0,1,0,0,0,1
prioritize workplace,0,0,0,0,1,0,0,1
prioritized lowering,0,0,0,0,0,1,0,1
prioritizing climate,0,0,0,1,0,0,0,1
prioritizing deployment,0,0,0,1,0,0,0,1
priority appointing,0,0,1,0,0,0,0,1
priority rights,0,0,0,0,1,0,0,1
prisma bildagentur,0,0,1,0,0,0,0,1
prisoners alaa,0,1,0,0,0,0,0,1
prisoners human,0,1,0,0,0,0,0,1
prisoners meaning,0,0,0,0,1,0,0,1
prisoners npr's,0,0,0,0,1,0,0,1
prisons eating,0,0,0,0,0,1,0,1
prisons steven,0,1,0,0,0,0,0,1
pristine seas,0,1,0,0,0,0,0,1
pritzker traveled,0,0,0,0,0,0,1,1
prius dominated,0,0,0,0,1,0,0,1
prius review,0,0,0,0,1,0,0,1
private companies,0,0,1,0,0,0,0,1
private company,0,0,0,1,0,0,0,1
private dollars,0,1,0,0,0,0,0,1
private donations,0,0,0,0,1,0,0,1
private emails,0,0,1,0,0,0,0,1
private flight,0,0,1,0,0,0,0,1
private life,0,1,0,0,0,0,0,1
private lines,0,0,0,1,0,0,0,1
private markets,0,1,0,0,0,0,0,1
private meteorologist,0,0,0,1,0,0,0,1
private millers,1,0,0,0,0,0,0,1
private partnership,0,0,1,0,0,0,0,1
private research,0,0,1,0,0,0,0,1
private sector's,0,1,0,0,0,0,0,1
privately lobbied,0,0,1,0,0,0,0,1
privately oppose,0,0,1,0,0,0,0,1
prize winner,0,0,0,0,1,0,0,1
pro free,0,0,1,0,0,0,0,1
pro freedom,0,0,0,0,0,1,0,1
pro solar,0,0,1,0,0,0,0,1
pro stove,0,0,0,1,0,0,0,1
proactive buyouts,1,0,0,0,0,0,0,1
problem's urgency,0,0,0,0,0,0,1,1
problematic message,0,0,0,0,1,0,0,1
problematic rachel,0,1,0,0,0,0,0,1
probst ap,0,1,0,0,0,0,0,1
process based,0,1,0,0,0,0,0,1
process called,0,0,0,0,0,0,1,1
process commissioner,0,0,0,0,1,0,0,1
process emerged,0,0,0,0,1,0,0,1
process fema,0,1,0,0,0,0,0,1
process human,0,0,0,0,0,1,0,1
process starts,0,1,0,0,0,0,0,1
process takes,0,1,0,0,0,0,0,1
processes affecting,0,0,0,0,1,0,0,1
processes happen,1,0,0,0,0,0,0,1
processes leading,0,0,0,0,0,1,0,1
processing center,0,1,0,0,0,0,0,1
processing plant,0,1,0,0,0,0,0,1
proclaimed burger,0,1,0,0,0,0,0,1
procurement officer,0,1,0,0,0,0,0,1
procurement teams,0,1,0,0,0,0,0,1
produce fewer,0,1,0,0,0,0,0,1
produce lasting,0,0,0,0,0,1,0,1
produce material,0,0,1,0,0,0,0,1
produce organic,0,1,0,0,0,0,0,1
produce real,0,1,0,0,0,0,0,1
produce reliable,0,1,0,0,0,0,0,1
produce sound,0,0,0,0,0,1,0,1
produce weather,0,0,0,0,1,0,0,1
produced climate,0,0,0,1,0,0,0,1
produced flash,0,1,0,0,0,0,0,1
produced greenpeace,1,0,0,0,0,0,0,1
produced heavy,0,1,0,0,0,0,0,1
produced it’s,0,0,0,1,0,0,0,1
producer additional,0,0,1,0,0,0,0,1
producer berly,0,0,0,0,0,1,0,1
producer companies,0,1,0,0,0,0,0,1
producer dil,0,0,0,0,0,1,0,1
producer peabody,0,0,0,0,1,0,0,1
producer phelan,0,0,1,0,0,0,0,1
producer rebecca,0,0,0,0,0,1,0,1
producer responsibility,0,0,0,1,0,0,0,1
producer robert,0,1,0,0,0,0,0,1
producer tony,0,0,1,0,0,0,0,1
produces elements,0,0,0,1,0,0,0,1
produces food,1,0,0,0,0,0,0,1
produces lots,0,1,0,0,0,0,0,1
produces meat,0,1,0,0,0,0,0,1
producing countries,0,0,0,1,0,0,0,1
producing food,1,0,0,0,0,0,0,1
producing meltwater,0,0,0,1,0,0,0,1
producing nation,0,0,0,1,0,0,0,1
producing rainfall,0,0,0,0,0,0,1,1
product development,0,1,0,0,0,0,0,1
product footing,0,1,0,0,0,0,0,1
product gdp,0,0,0,0,0,1,0,1
product ready,0,1,0,0,0,0,0,1
production amounting,1,0,0,0,0,0,0,1
production company,0,1,0,0,0,0,0,1
production cut,1,0,0,0,0,0,0,1
production eugene,0,0,1,0,0,0,0,1
production including,0,1,0,0,0,0,0,1
production line,0,1,0,0,0,0,0,1
production lower,1,0,0,0,0,0,0,1
production plummer,0,1,0,0,0,0,0,1
production systems,0,0,1,0,0,0,0,1
productive sectors,0,0,1,0,0,0,0,1
products building,1,0,0,0,0,0,0,1
products cultivated,0,0,0,0,0,0,1,1
prof berhe,0,0,1,0,0,0,0,1
professional circles,0,0,1,0,0,0,0,1
professional homosexual,1,0,0,0,0,0,0,1
professionals business,0,0,1,0,0,0,0,1
professor agrees,0,0,0,0,1,0,0,1
professor andrew,0,0,0,1,0,0,0,1
professor fisher,0,0,0,1,0,0,0,1
professor josh,1,0,0,0,0,0,0,1
professor karen,0,0,1,0,0,0,0,1
professor max,0,0,0,0,0,0,1,1
professor paul,0,0,0,0,1,0,0,1
professor victor,0,0,0,1,0,0,0,1
profit margins,0,0,1,0,0,0,0,1
profit organization,0,0,0,0,1,0,0,1
profit research,0,0,0,1,0,0,0,1
profitable utility,0,0,1,0,0,0,0,1
profits ahmad,0,1,0,0,0,0,0,1
profits philip,0,1,0,0,0,0,0,1
profits sæthren,0,1,0,0,0,0,0,1
profound consequences,0,1,0,0,0,0,0,1
profound impacts,0,1,0,0,0,0,0,1
profound implications,0,1,0,0,0,0,0,1
profound instability,0,1,0,0,0,0,0,1
program climate,0,0,0,0,0,1,0,1
program coordinator,1,0,0,0,0,0,0,1
program focusing,0,1,0,0,0,0,0,1
program geared,1,0,0,0,0,0,0,1
program specialist,0,1,0,0,0,0,0,1
program started,1,0,0,0,0,0,0,1
program yagana,0,0,1,0,0,0,0,1
programme tells,0,0,0,0,0,1,0,1
programme wrote,0,1,0,0,0,0,0,1
