bigram,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,Total
powderly texas,0,1,0,0,0,0,0,1
power plant,1,2,1,2,0,0,0,6
president biden's,4,1,0,0,0,0,1,6
production facility,0,2,0,1,0,0,0,3
protection agency,0,1,0,3,1,1,0,6
rainy season,1,1,0,0,0,2,0,4
recent storms,0,0,0,3,0,1,0,4
resources institute,1,5,0,0,0,0,1,7
ricci shryock,0,4,0,1,1,0,0,6
river water,1,0,0,0,2,0,0,3
school playground,0,0,0,1,0,0,0,1
snow carving,0,1,0,0,0,0,0,1
solar company,0,0,0,0,2,0,0,2
solar development,0,1,0,0,1,0,0,2
south carolina,0,4,1,0,1,0,0,6
sponsor free,0,5,2,0,0,0,0,7
spotify apple,0,0,1,2,0,4,0,7
spotify pocketcasts,0,5,2,0,0,0,0,7
sultan al,0,0,0,3,0,1,0,4
vicinity energy,3,0,0,0,0,0,0,3
vulnerable communities,1,2,0,0,0,2,0,5
warming emissions,0,3,1,0,0,1,0,5
warning centre,0,0,0,0,0,1,0,1
washington post,0,2,0,0,0,2,1,5
wind farm,0,3,0,0,1,0,0,4
yeah yeah,2,1,0,3,0,0,0,6
year's climate,0,5,0,0,0,1,0,6
abu dhabi's,0,0,0,2,0,0,0,2
aerial photo,0,1,0,0,0,2,0,3
afp getty,0,1,0,0,0,0,1,2
air force,1,1,0,0,1,0,0,3
anil oza,0,0,0,2,0,4,0,6
annual meetings,1,2,0,0,0,1,1,5
atchison county,1,0,0,0,0,0,0,1
average temperatures,0,0,0,1,0,2,0,3
bad news,2,0,0,0,2,0,0,4
beach fla,0,2,0,0,1,0,0,3
biden administration's,0,1,2,1,0,1,0,5
boko haram,0,0,1,0,0,0,0,1
brian lafoe,0,0,0,2,0,0,0,2
buy food,0,1,1,0,1,0,0,3
caption climate,0,1,2,2,0,1,0,6
carbon fuel,3,0,0,0,1,0,0,4
carbon markets,0,2,0,0,0,0,0,2
carly biedul,0,0,0,0,2,0,0,2
central valley,0,0,0,2,0,2,0,4
climate advocates,0,4,0,0,1,0,0,5
climate agreement,0,2,1,1,0,2,0,6
climate central,1,0,0,1,0,0,0,2
climate envoy,0,1,0,2,0,1,0,4
climate migration,1,3,0,0,1,0,0,5
climate resilience,0,2,2,0,0,0,1,5
co2 emissions,0,2,0,0,0,2,1,5
coal companies,1,0,0,0,0,0,0,1
colorado boulder,0,1,3,1,0,0,1,6
columbia university,0,0,0,0,3,0,0,3
commuter traffic,0,0,1,2,0,0,0,3
computer models,1,0,0,1,1,2,0,5
congo basin,0,0,0,0,0,0,1,1
coral reef,0,3,0,0,0,0,0,3
cruz county,0,0,0,3,0,2,0,5
cultivated chicken,0,2,0,0,0,0,0,2
cutting emissions,1,4,1,0,0,0,0,6
damage caused,1,3,0,0,0,2,0,6
datu odin,1,0,0,0,0,0,0,1
development finance,0,3,0,0,0,0,0,3
driven disasters,0,2,0,2,0,0,0,4
east palo,0,0,0,0,1,0,0,1
eating insects,0,0,0,0,0,1,0,1
economic development,0,3,0,0,1,2,0,6
electric cars,0,3,0,0,0,1,0,4
electric grid,0,1,1,1,2,0,0,5
emissions reductions,2,2,0,0,0,0,0,4
energy sources,0,1,1,2,0,0,1,5
federal judge,0,1,1,0,0,2,0,4
fight climate,0,4,0,0,1,0,0,5
fired power,1,1,1,0,1,1,0,5
food insecurity,1,0,1,0,1,1,0,4
forest loss,0,0,0,0,0,0,1,1
freezing temperatures,0,1,0,0,2,1,1,5
friday night,0,1,0,0,1,1,1,4
frozen ground,0,1,0,2,0,0,0,3
gas infrastructure,2,0,1,0,1,1,0,5
gas pollution,0,2,0,0,2,1,0,5
gas powered,0,0,0,1,2,2,0,5
gaston county,0,1,0,0,0,0,0,1
gisele grayson,1,3,1,0,1,0,0,6
global south,0,3,0,0,1,1,0,5
government agencies,0,3,1,2,0,0,0,6
greenhouse gasses,1,3,1,1,0,0,0,6
growing body,0,0,0,3,1,0,0,4
growth management,1,0,0,0,0,0,0,1
gulf coast,1,2,0,0,1,0,0,4
health risks,0,1,0,2,1,0,0,4
heavy rainfall,1,1,0,1,0,0,0,3
income communities,0,0,1,4,0,1,0,6
infrastructure law,0,0,2,2,0,0,0,4
jeff brady,0,0,0,3,1,0,0,4
journal nature,0,0,2,0,2,1,1,6
la nina,0,0,0,1,0,0,1,2
lake city,0,0,0,1,2,0,0,3
local opposition,0,0,0,0,2,0,0,2
lower income,0,4,0,0,2,0,0,6
maguindanao's datu,1,0,0,0,0,0,0,1
main goal,0,0,5,0,0,1,0,6
mary louise,1,1,1,0,1,0,0,4
meats space,0,1,0,0,0,0,0,1
monastery school,0,1,0,0,0,0,0,1
mount kilimanjaro,0,2,1,0,0,0,0,3
moving forward,0,2,0,0,0,3,1,6
natural disasters,2,1,0,1,1,1,0,6
news conference,1,1,0,1,0,1,1,5
odin sinsuat,1,0,0,0,0,0,0,1
oil project,0,0,0,0,0,2,0,2
palm oil,0,0,0,0,0,0,1,1
photo provided,0,0,0,0,0,3,0,3
planet warming,0,3,0,0,0,1,0,4
police officers,0,0,1,0,1,0,0,2
power company,0,1,1,1,0,0,0,3
president donald,2,0,1,1,1,0,0,5
program director,1,0,0,0,1,3,1,6
public radio,2,0,0,2,2,0,0,6
public radio's,0,1,0,2,2,0,0,5
rachel cleetus,0,2,0,4,0,0,0,6
rainfall data,0,0,0,2,0,0,0,2
real estate,2,0,0,2,0,0,0,4
reducing emissions,1,1,0,0,2,1,0,5
report released,0,5,0,0,0,1,0,6
research suggests,1,3,0,1,0,0,0,5
resources hide,0,0,0,2,0,1,0,3
richard trumka,0,0,0,4,1,0,0,5
rising temperatures,0,3,0,2,0,0,0,5
san diego,1,1,0,1,1,0,0,4
save lives,0,1,0,2,0,2,0,5
shikshan prayog,0,1,0,0,0,0,0,1
shortwave npr.org,1,0,0,2,0,3,0,6
sinsuat town,1,0,0,0,0,0,0,1
slack's students,0,0,0,1,0,0,0,1
special counsel,0,0,0,1,0,0,0,1
square miles,0,2,0,0,1,1,0,4
strong winds,0,0,0,2,3,1,0,6
study published,1,0,3,0,0,1,1,6
surface temperatures,0,0,0,1,0,1,0,2
swayam shikshan,0,1,0,0,0,0,0,1
temperature data,0,0,0,1,0,0,0,1
tree health,0,0,1,0,0,0,0,1
trump administration,0,1,0,1,1,1,0,4
u.n report,0,3,0,0,0,1,0,4
uma valeti,0,1,0,0,0,0,0,1
utility companies,0,0,3,1,0,0,0,4
vicinity energy's,3,0,0,0,0,0,0,3
vulnerable countries,0,4,0,0,0,0,0,4
wallis annenberg,0,0,1,0,0,0,0,1
war ii,3,1,0,1,1,0,0,6
warming climate,0,4,1,0,0,0,1,6
weather forecasts,1,2,0,0,1,0,0,4
western hudson,0,0,1,0,0,0,0,1
wide range,1,0,0,0,0,2,0,3
william troop,0,3,1,1,1,0,0,6
willow oil,0,0,0,0,0,2,0,2
win win,1,1,0,0,1,0,0,3
world economic,0,0,1,0,0,1,0,2
world war,3,1,0,1,1,0,0,6
addressing climate,0,2,0,1,1,0,0,4
agoura hills,0,0,1,0,0,0,0,1
air conditioner,0,0,0,0,0,1,1,2
al gore,0,2,0,0,0,0,0,2
alaska's north,0,0,0,0,0,2,0,2
ambitious climate,0,3,1,1,0,0,0,5
animal cells,0,2,0,0,0,0,0,2
animal feed,0,1,0,0,1,1,0,3
annual meeting,0,0,0,0,0,2,0,2
appliance manufacturers,0,0,0,2,1,0,0,3
arctic ocean,0,0,0,0,0,1,0,1
artificial intelligence,0,2,0,1,0,0,0,3
banning gas,0,0,0,2,1,0,0,3
baseball diamond,0,1,0,0,0,0,0,1
billion annually,0,2,1,0,0,0,0,3
